"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Gómez-Zotano J.; Pardo-Martínez R.; Olmedo-Cobo J.A.; Martos-Martín J.","Gómez-Zotano, José (15070055700); Pardo-Martínez, Rubén (57208472727); Olmedo-Cobo, José Antonio (56192459000); Martos-Martín, Javier (58757440700)","15070055700; 57208472727; 56192459000; 58757440700","Fire history in the serpentine‑soil Spanish firs of Sierra Bermeja","2024","Fire Ecology","20","1","49","","","","0","10.1186/s42408-024-00280-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193508113&doi=10.1186%2fs42408-024-00280-0&partnerID=40&md5=f6cec77d3af7a51e84e5758825424d29","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85193508113"
"Wang X.; Zhao C.; Li Z.; Huang J.","Wang, Xiaofei (58924590800); Zhao, Chaoli (58925319800); Li, Ziao (57222638922); Huang, Jiu (36699746800)","58924590800; 58925319800; 57222638922; 36699746800","Modeling risk assessment of soil heavy metal pollution using partial least squares and fuzzy logic: A case study of a gully type coal-based solid waste dumpsite","2024","Environmental Pollution","352","","124147","","","","4","10.1016/j.envpol.2024.124147","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193047479&doi=10.1016%2fj.envpol.2024.124147&partnerID=40&md5=2848e700b60ce5ff18f2eba6052146c9","Article","Final","","Scopus","2-s2.0-85193047479"
"Hefty K.L.; Gillan J.K.; Trejo J.; Koprowski J.L.","Hefty, Kira L. (57201498789); Gillan, Jeffrey K. (55703615000); Trejo, Jena (59355130100); Koprowski, John L. (6701833520)","57201498789; 55703615000; 59355130100; 6701833520","Effectiveness of pre-fire forest management on post-fire forest conditions in southeastern Arizona","2024","Fire Ecology","20","1","85","","","","1","10.1186/s42408-024-00318-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205685993&doi=10.1186%2fs42408-024-00318-3&partnerID=40&md5=48975846505b0c7eda5bc39efba64dac","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85205685993"
"Masoudian E.; Mirzaei A.; Bagheri H.","Masoudian, Ehsan (58080642800); Mirzaei, Ali (58045383400); Bagheri, Hossein (56153105600)","58080642800; 58045383400; 56153105600","Assessing wildfire susceptibility in Iran: Leveraging machine learning for geospatial analysis of climatic and anthropogenic factors","2025","Trees, Forests and People","19","","100774","","","","0","10.1016/j.tfp.2025.100774","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215085275&doi=10.1016%2fj.tfp.2025.100774&partnerID=40&md5=8996a7314e195552982d3f12279e0836","Article","Final","","Scopus","2-s2.0-85215085275"
"Wu Y.; Li X.; Zeng H.; Zhong X.; Kuang S.","Wu, Yong (57193565237); Li, Xiaoyan (59007970500); Zeng, Hongda (8445298100); Zhong, Xiaojian (57199193795); Kuang, Shennan (59470277600)","57193565237; 59007970500; 8445298100; 57199193795; 59470277600","Analysis of Carbon Sink Benefits from Comprehensive Soil and Water Conservation in the Loess Hilly Gently Slope Aeolian Sand Region","2024","Water (Switzerland)","16","23","3434","","","","1","10.3390/w16233434","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211912909&doi=10.3390%2fw16233434&partnerID=40&md5=fe5d41782e004121257f11cfff18827a","Article","Final","","Scopus","2-s2.0-85211912909"
"de Klerk J.; Tildesley M.; Labuschagne K.; Gorsich E.","de Klerk, Joanna (57216702328); Tildesley, Michael (12766351300); Labuschagne, Karien (6504332110); Gorsich, Erin (56294526400)","57216702328; 12766351300; 6504332110; 56294526400","Modelling bluetongue and African horse sickness vector (Culicoides spp.) distribution in the Western Cape in South Africa using random forest machine learning","2024","Parasites and Vectors","17","1","354","","","","1","10.1186/s13071-024-06446-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201791276&doi=10.1186%2fs13071-024-06446-8&partnerID=40&md5=aab5c0efad6e9f8ed179aa5453bc8230","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85201791276"
"Zhao Y.-H.; Bakian-Dogaheh K.; Whitcomb J.; Chen R.H.; Yi Y.; Kimball J.S.; Moghaddam M.","Zhao, Yu-Huan (57223593574); Bakian-Dogaheh, Kazem (57213193777); Whitcomb, Jane (23493835300); Chen, Richard H (57192682066); Yi, Yonghong (12797623000); Kimball, John S (57189939159); Moghaddam, Mahta (7004934627)","57223593574; 57213193777; 23493835300; 57192682066; 12797623000; 57189939159; 7004934627","Integrating multi-source remote sensing data for mapping boreal forest canopy height and species in interior Alaska in support of radar modeling","2024","Environmental Research Letters","19","7","074025","","","","0","10.1088/1748-9326/ad560a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196422591&doi=10.1088%2f1748-9326%2fad560a&partnerID=40&md5=46dfc691c3cc5dd725d6689d3331b499","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85196422591"
"Zhao S.; Ayoubi S.; Mousavi S.R.; Mireei S.A.; Shahpouri F.; Wu S.-X.; Chen C.-B.; Zhao Z.-Y.; Tian C.-Y.","Zhao, Shuai (57305858200); Ayoubi, Shamsollah (15029836800); Mousavi, Seyed Roohollah (57214831013); Mireei, Seyed Ahmad (26656844800); Shahpouri, Faezeh (58066266300); Wu, Shi-xin (55994147600); Chen, Chun-bo (56997948800); Zhao, Zhen-yong (57212142201); Tian, Chang-yan (55991439100)","57305858200; 15029836800; 57214831013; 26656844800; 58066266300; 55994147600; 56997948800; 57212142201; 55991439100","Integrating proximal soil sensing data and environmental variables to enhance the prediction accuracy for soil salinity and sodicity in a region of Xinjiang Province, China","2024","Journal of Environmental Management","364","","121311","","","","3","10.1016/j.jenvman.2024.121311","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195694202&doi=10.1016%2fj.jenvman.2024.121311&partnerID=40&md5=831d5dfa6be62b5b8a753b6d61b4bd39","Article","Final","","Scopus","2-s2.0-85195694202"
"Anandakumar J.; Suresh K.P.; Patil A.V.; Jagadeesh C.A.; Bylaiah S.; Patil S.S.; Hemadri D.","Anandakumar, Jayashree (59005421600); Suresh, Kuralayanapalya Puttahonnappa (57217658013); Patil, Archana Veeranagouda (59345098300); Jagadeesh, Chethan A. (59344668600); Bylaiah, Sushma (57224575855); Patil, Sharanagouda S. (35458621500); Hemadri, Divakar (6701806131)","59005421600; 57217658013; 59345098300; 59344668600; 57224575855; 35458621500; 6701806131","Comprehensive Spatial-Temporal and Risk Factor Insights for Optimizing Livestock Anthrax Vaccination Strategies in Karnataka, India","2024","Vaccines","12","9","1081","","","","0","10.3390/vaccines12091081","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205039366&doi=10.3390%2fvaccines12091081&partnerID=40&md5=cb2bed06f72f266c3c40d2fb2fe662a5","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85205039366"
"Biswas U.; Mahato S.; Joshi P.K.","Biswas, Utsav (59546222500); Mahato, Susanta (57191262208); Joshi, Pawan K. (35195919400)","59546222500; 57191262208; 35195919400","Spatial prediction of forest fires in India: a machine learning approach for improved risk assessment and early warning systems","2025","Environmental Science and Pollution Research","","","114709","","","","0","10.1007/s11356-025-35982-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217162851&doi=10.1007%2fs11356-025-35982-8&partnerID=40&md5=da43963daefbd7c7520f27517302e8ec","Article","Article in press","","Scopus","2-s2.0-85217162851"
"Baur M.J.; Friend A.D.; Pellegrini A.F.A.","Baur, Martin J. (57200604662); Friend, Andrew D. (57203048291); Pellegrini, Adam F. A. (56108379000)","57200604662; 57203048291; 56108379000","Widespread and systematic effects of fire on plant–soil water relations","2024","Nature Geoscience","17","11","","1115","1120","5","1","10.1038/s41561-024-01563-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208926269&doi=10.1038%2fs41561-024-01563-6&partnerID=40&md5=7da423dfb2749435e3deab079f6aafdd","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85208926269"
"Zhang Y.; Bu J.; Zuo X.; Yu K.; Wang Q.; Huang W.","Zhang, Yongfeng (59139903800); Bu, Jinwei (57201259818); Zuo, Xiaoqing (57220925320); Yu, Kegen (9243680600); Wang, Qiulan (59139380600); Huang, Weimin (55586097900)","59139903800; 57201259818; 57220925320; 9243680600; 59139380600; 55586097900","Vegetation Water Content Retrieval from Spaceborne GNSS-R and Multi-Source Remote Sensing Data Using Ensemble Machine Learning Methods","2024","Remote Sensing","16","15","2793","","","","3","10.3390/rs16152793","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200856461&doi=10.3390%2frs16152793&partnerID=40&md5=1a2a7d8b42d6a76fd43a64ae74c8e54c","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85200856461"
"Zhang W.; Zhao Y.; Zhang F.; Shi X.; Zeng C.; Maerker M.","Zhang, Wenjie (56123382300); Zhao, Yang (59448260900); Zhang, Fan (57192063251); Shi, Xiaonan (23393723300); Zeng, Chen (35735760500); Maerker, Michael (58806045700)","56123382300; 59448260900; 57192063251; 23393723300; 35735760500; 58806045700","Understanding the mechanism of gully erosion in the alpine region through an interpretable machine learning approach","2024","Science of the Total Environment","949","","174949","","","","1","10.1016/j.scitotenv.2024.174949","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200161340&doi=10.1016%2fj.scitotenv.2024.174949&partnerID=40&md5=f08802ffe4dd44795e818a62e6f003d5","Article","Final","","Scopus","2-s2.0-85200161340"
"Wang Y.; Li C.; Cui Y.; Cui Y.; Xu Y.; Hora T.; Zaveri E.; Rodella A.-S.; Bai L.; Long D.","Wang, Yiming (57224115881); Li, Chen (59229133600); Cui, Yingjie (57207287306); Cui, Yanhong (57210387068); Xu, Yuancheng (58766286600); Hora, Tejasvi (57210696809); Zaveri, Esha (57191032656); Rodella, Aude-Sophie (57204037596); Bai, Liangliang (56956237800); Long, Di (7401958053)","57224115881; 59229133600; 57207287306; 57210387068; 58766286600; 57210696809; 57191032656; 57204037596; 56956237800; 7401958053","Spatial downscaling of GRACE-derived groundwater storage changes across diverse climates and human interventions with Random Forests","2024","Journal of Hydrology","640","","131708","","","","4","10.1016/j.jhydrol.2024.131708","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199313344&doi=10.1016%2fj.jhydrol.2024.131708&partnerID=40&md5=192ff33eff6ef8748c7ebb919d937469","Article","Final","","Scopus","2-s2.0-85199313344"
"Bosley-Smith C.; D'Amato A.W.; Rogers N.S.; Tabak N.; Fraver S.","Bosley-Smith, Colby (58767409400); D'Amato, Anthony W. (7007065190); Rogers, Nicole S. (57192949123); Tabak, Nava (35797425400); Fraver, Shawn (57203056795)","58767409400; 7007065190; 57192949123; 35797425400; 57203056795","Understorey vegetation response to post-tornado salvage logging","2024","Applied Vegetation Science","27","4","e70006","","","","0","10.1111/avsc.70006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211489594&doi=10.1111%2favsc.70006&partnerID=40&md5=80a67ff8bdc6a7f0c62a6639c5789eb0","Article","Final","","Scopus","2-s2.0-85211489594"
"Moazeni S.; Cerda A.","Moazeni, Saeedreza (59377348500); Cerda, Artemi (57195523298)","59377348500; 57195523298","A comprehensive bibliometric review of forest fires in Iran","2025","Environmental Development","54","","101160","","","","0","10.1016/j.envdev.2025.101160","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216690890&doi=10.1016%2fj.envdev.2025.101160&partnerID=40&md5=735ff2c233a6d28825a50fa3871c25dd","Review","Final","","Scopus","2-s2.0-85216690890"
"Šebeň V.; Pajtík J.; Konôpka B.","Šebeň, Vladimír (35749218200); Pajtík, Jozef (24468317600); Konôpka, Bohdan (55915117400)","35749218200; 24468317600; 55915117400","The Impact of Salvage Logging on Deadwood Decomposition and Forest Regeneration: A Case Study in Tatra National Park, Slovakia","2024","Forests","15","11","1936","","","","0","10.3390/f15111936","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210594034&doi=10.3390%2ff15111936&partnerID=40&md5=1feba2b1200b22502ba8e171831d66a1","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85210594034"
"Rankine C.; Sanchez-Azofeifa A.; do Espirito-Santo M.M.; Stan K.","Rankine, Cassidy (54929027200); Sanchez-Azofeifa, Arturo (6602158037); do Espirito-Santo, Mario Marcos (57224125991); Stan, Kayla (56811356300)","54929027200; 6602158037; 57224125991; 56811356300","Succession and seasonality of a Brazilian secondary tropical dry forest: Phenology and climate moderation","2024","Forest Ecology and Management","568","","122151","","","","0","10.1016/j.foreco.2024.122151","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198534276&doi=10.1016%2fj.foreco.2024.122151&partnerID=40&md5=f4b26b94048ddbaf321b152f6b614c93","Article","Final","","Scopus","2-s2.0-85198534276"
"Llorens R.; Sobrino J.A.; Fernández C.; Fernández-Alonso J.M.; Vega J.A.","Llorens, Rafael (57209204250); Sobrino, José Antonio (55939316400); Fernández, Cristina (56370746400); Fernández-Alonso, José M. (55547460500); Vega, José Antonio (7201630414)","57209204250; 55939316400; 56370746400; 55547460500; 7201630414","Soil Burn Severity Assessment Using Sentinel-2 and Radiometric Measurements","2024","Fire","7","12","487","","","","0","10.3390/fire7120487","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213458686&doi=10.3390%2ffire7120487&partnerID=40&md5=9e96b2376d83f126c38f6d1144225aff","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85213458686"
"Li Z.; Yuan Q.; Yang Q.; Li J.; Zhao T.","Li, Zhenghao (58304137500); Yuan, Qiangqiang (36635300800); Yang, Qianqian (57199054520); Li, Jie (57214207213); Zhao, Tianjie (34882458900)","58304137500; 36635300800; 57199054520; 57214207213; 34882458900","Differentiable modeling for soil moisture retrieval by unifying deep neural networks and water cloud model","2024","Remote Sensing of Environment","311","","114281","","","","1","10.1016/j.rse.2024.114281","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196481100&doi=10.1016%2fj.rse.2024.114281&partnerID=40&md5=3789b7ed1388d84c4553386442a8b109","Article","Final","","Scopus","2-s2.0-85196481100"
"Zhou G.; Long F.; Zu L.; Jarvie S.; Peng Y.; Zang L.; Chen D.; Zhang G.; Sui M.; He Y.; Liu Q.","Zhou, Guanghui (58741632600); Long, Fayu (57984040300); Zu, Lei (57984040200); Jarvie, Scott (56167006400); Peng, Yan (56599442100); Zang, Lipeng (57033704900); Chen, Danmei (57189029843); Zhang, Guangqi (58497516100); Sui, Mingzhen (57204689761); He, Yuejun (57799174500); Liu, Qingfu (57194565001)","58741632600; 57984040300; 57984040200; 56167006400; 56599442100; 57033704900; 57189029843; 58497516100; 57204689761; 57799174500; 57194565001","Stand spatial structure and microbial diversity are key drivers of soil multifunctionality during secondary succession in degraded karst forests","2024","Science of the Total Environment","937","","173504","","","","1","10.1016/j.scitotenv.2024.173504","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194312089&doi=10.1016%2fj.scitotenv.2024.173504&partnerID=40&md5=47ceb294c6890444041c58d96cc17991","Article","Final","","Scopus","2-s2.0-85194312089"
"Diallo I.D.; Tilioua A.; Darraz C.; Alali A.; Sidibe D.","Diallo, I.D. (57458954300); Tilioua, A. (55837368600); Darraz, C. (56582513500); Alali, A. (58156752800); Sidibe, D. (57522848700)","57458954300; 55837368600; 56582513500; 58156752800; 57522848700","Studies of soil degradation in Lower Guinea, impact on the environment and the health of the population","2024","International Journal of Environmental Science and Technology","21","16","","9987","10002","15","0","10.1007/s13762-024-05655-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191994941&doi=10.1007%2fs13762-024-05655-z&partnerID=40&md5=dbdeac11fdc108e42a31dc3affb1a1d0","Article","Final","","Scopus","2-s2.0-85191994941"
"Ma L.; Ma J.; Yan P.; Tian F.; Peñuelas J.; Rao M.P.; Fu Y.; Hu Z.","Ma, Longlong (57205505981); Ma, Jun (56146653300); Yan, Pu (57202761711); Tian, Feng (57201494402); Peñuelas, Josep (7006747772); Rao, Mukund Palat (56673335000); Fu, Yongshuo (58368139500); Hu, Zhenhong (8684217000)","57205505981; 56146653300; 57202761711; 57201494402; 7006747772; 56673335000; 58368139500; 8684217000","Planted Forests in China Have Higher Drought Risk Than Natural Forests","2025","Global Change Biology","31","2","e70055","","","","0","10.1111/gcb.70055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216965166&doi=10.1111%2fgcb.70055&partnerID=40&md5=332ea2fca176757efc8a94113de6b83d","Article","Final","","Scopus","2-s2.0-85216965166"
"Wan L.; Ryu Y.; Dechant B.; Hwang Y.; Feng H.; Kang Y.; Jeong S.; Lee J.; Choi C.; Bae J.","Wan, Liang (57203931260); Ryu, Youngryel (24399902600); Dechant, Benjamin (57194380653); Hwang, Yorum (57169412700); Feng, Huaize (57215775990); Kang, Yanghui (57092900800); Jeong, Sungchan (57970021800); Lee, Jeongho (58882065200); Choi, Changhyun (57191956957); Bae, Joonhwan (58881772400)","57203931260; 24399902600; 57194380653; 57169412700; 57215775990; 57092900800; 57970021800; 58882065200; 57191956957; 58881772400","Correcting confounding canopy structure, biochemistry and soil background effects improves leaf area index estimates across diverse ecosystems from Sentinel-2 imagery","2024","Remote Sensing of Environment","309","","114224","","","","3","10.1016/j.rse.2024.114224","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194097054&doi=10.1016%2fj.rse.2024.114224&partnerID=40&md5=b4368a71f7c8d6ff0a71737a5494a500","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85194097054"
"Rhoades C.C.; J. Richardson M.; Fegel T.S.; K. Kampf S.","Rhoades, Charles C. (7005207421); J. Richardson, Mikaela (59503458800); Fegel, Timothy S. (57188738397); K. Kampf, Stephanie (59504050300)","7005207421; 59503458800; 57188738397; 59504050300","Assessing the effects of woody mulch on post-fire soil and stream nitrogen at experimental and operational scales","2025","Forest Ecology and Management","578","","122490","","","","0","10.1016/j.foreco.2024.122490","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214342766&doi=10.1016%2fj.foreco.2024.122490&partnerID=40&md5=b1a20b97189201f68cc8f6ea86eb03b8","Article","Final","","Scopus","2-s2.0-85214342766"
"Win K.; Sato T.; Tsuyuki S.","Win, Kyaw (59006853300); Sato, Tamotsu (7406979362); Tsuyuki, Satoshi (8274310500)","59006853300; 7406979362; 8274310500","Application of Multi-Source Remote Sensing Data and Machine Learning for Surface Soil Moisture Mapping in Temperate Forests of Central Japan","2024","Information (Switzerland)","15","8","485","","","","2","10.3390/info15080485","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202340176&doi=10.3390%2finfo15080485&partnerID=40&md5=5c10381da833f82510aebc1b4cb61dbf","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85202340176"
"Vorobevskii I.; Luong T.T.; Kronenberg R.; Petzold R.","Vorobevskii, Ivan (57218265762); Luong, Thi Thanh (57214936829); Kronenberg, Rico (55216483400); Petzold, Rainer (36677879500)","57218265762; 57214936829; 55216483400; 36677879500","High-resolution operational soil moisture monitoring for forests in central Germany","2024","Hydrology and Earth System Sciences","28","15","","3567","3595","28","0","10.5194/hess-28-3567-2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200906633&doi=10.5194%2fhess-28-3567-2024&partnerID=40&md5=0d957128f6a9216fbfea471ee98805e1","Article","Final","","Scopus","2-s2.0-85200906633"
"Promi S.I.; Gardner C.M.; Hohner A.K.","Promi, Saraf Islam (57202646600); Gardner, Courtney M. (57069590900); Hohner, Amanda K. (55536390000)","57202646600; 57069590900; 55536390000","Biodegradability of unheated and laboratory heated dissolved organic matter","2024","Environmental Science: Processes and Impacts","26","8","","1429","1439","10","1","10.1039/d3em00383c","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198995188&doi=10.1039%2fd3em00383c&partnerID=40&md5=1666b64258b6c22463808a66fde7cbb5","Article","Final","","Scopus","2-s2.0-85198995188"
